downloads,python_version,distro_name,distro_version
88,2.6,CentOS,6.9
87,2.7,debian,8.5
87,3.7,Amazon Linux AMI,2015.09
87,2.7,Deepin,15.11
87,3.5,Ubuntu Kylin,16.04
86,3.6,RedHatEnterpriseServer,6.7
86,3.6,Oracle Linux Server,7.5
86,2.7,Zorin OS,15
86,2.7,Ubuntu,19.10
85,3.7,macOS,10.11.4
85,3.7,openSUSE Tumbleweed,20190704
84,3.7,CentOS,6.6
84,3.4,macOS,10.13.6
83,3.6,Deepin,15.10.1
82,2.7,CentOS Linux,7.1.1503
82,3.5,LinuxMint,18.1
81,3.5,CentOS,6.6
81,3.7,Red Hat Enterprise Linux,8.0
81,3.6,macOS,10.12.4
81,2.7,debian,8.11
80,3.7,SLES,12.3
80,3.7,elementary OS,0.4.1
79,3.7,Fedora,27
79,3.6,Linux Mint,18
78,2.7,Red Hat Enterprise Linux Server,5.3
78,3.7,Ubuntu,17.10
78,2.7,Ubuntu Kylin,16.04
78,3.7,Clear Linux OS,30650
78,2.7,Slackware,14.2
77,2.7,Deepin,15.10.2
77,3.5,Fedora,27
77,3.6,Red Hat Enterprise Linux Server,7.7
77,3.5,Red Hat Enterprise Linux Server,7.2
77,3.6,CentOS,6.3
76,3.7,Debian GNU/Linux,testing/unstable
76,3.7,macOS,10.12.2
75,3.7,Red Hat Enterprise Linux Server,7.2
75,2.7,macOS,10.12.4
74,3.5,LMDE,3
74,3.5,Red Hat Enterprise Linux Server,7.3
73,3.7,CentOS,6.8
73,3.5,macOS,10.14.1
73,3.7,Deepin,15.10.2
73,3.7,Linux Mint,18
72,3.7,Zorin OS,15
72,3.6,Scientific Linux,7.4
72,3.6,RedHatEnterpriseServer,6.5
71,3.7,Fedora,25
69,3.6,Alpine Linux,3.7.0
69,3.6,GalliumOS,3.0
68,3.6,Ubuntu,17.04
68,3.5,Ubuntu,16.10
67,2.7,Scientific Linux CERN SLC,6.10
67,2.7,Deepin,15.10.1
66,3.5,macOS,10.13.4
66,3.5,Fedora,30
66,3.7,Pop!_OS,18.10
66,3.5,debian,8.6
65,3.5,Linux Mint,19
65,3.7,Ubuntu,12.04
65,3.6,Deepin,15.9
65,3.5,macOS,10.15
64,3.5,Ubuntu,18.10
64,2.7,nsoslx,1.0
64,3.5,CentOS Linux,7.4.1708
64,2.7,elementary OS,0.4.1
63,3.5,LinuxMint,18
63,2.7,debian,9.9
63,3.7,Alpine Linux,3.9.0
63,3.6,Scientific Linux,7.3
63,3.4,CentOS,6.7
62,3.7,Clear Linux OS,30500
62,3.6,Kali GNU/Linux,2019.2
62,3.7,Clear Linux OS,30170
62,3.7,openSUSE Tumbleweed,20190726
62,3.6,Oracle Linux Server,6.10
62,3.7,Tencent tlinux,2.2
62,3.5,CentOS,6.5
61,3.4,RedHatEnterpriseServer,6.9
61,3.4,macOS,10.12.6
60,3.6,Red Hat Enterprise Linux Workstation,7.3
60,2.7,Debian GNU/Linux,stable-updates
60,3.7,Debian,6.0.10
60,3.7,openSUSE Leap,15.0
59,3.5,"""elementary""",0.4.1
59,3.5,debian,8.5
59,3.6,Red Hat Enterprise Linux Workstation,7.4
59,2.7,OS X,10.14.5
59,3.5,OS X,10.13.6
59,3.6,SLES,12.4
58,3.7,openSUSE Tumbleweed,20190721
58,2.7,RedHatEnterpriseServer,6.8
57,2.7,Kali GNU/Linux,2018.4
57,3.7,Fedora,31
57,3.6,macOS,10.13
57,3.6,macOS,10.12.2
56,2.7,LMDE,3
56,3.5,Fedora,29
56,3.6,macOS,10.12.3
55,2.7,Red Hat Enterprise Linux Server,6.10
55,3.7,Antergos Linux,19.4
55,3.7,openSUSE Leap,15.1
55,3.7,openSUSE Tumbleweed,20190723
54,3.6,Antergos Linux,
54,3.7,macOS,10.12.1
54,3.6,Oracle Linux Server,7.4
54,3.7,Clear Linux OS,30340
53,3.8,,
53,3.6,Oracle Linux Server,7.2
53,3.7,Manjaro Linux,18.0.3
53,3.5,Arch Linux,rolling
53,3.8,macOS,10.14.5
53,3.6,RedHatEnterpriseServer,6.6
53,3.7,Kali GNU/Linux,2018.3
52,3.6,Ubuntu Kylin,16.04
52,3.7,Solus,4.0
52,2.7,Pop!_OS,18.10
52,3.5,CentOS,6.7
52,3.6,Scientific Linux,7.5
52,3.6,Nest,6.9
