downloads,distro_name,distro_version,distro_id
129,macOS,10.11.4,
128,SLES,15,
128,macOS,10.12.1,
127,Scientific,6.9,Carbon
126,SLES,12.3,x86_64
126,RedHatEnterpriseServer,6.6,Santiago
125,Amazon Linux AMI,2015.03,n/a
125,Fedora,30,MATE-Compiz
124,Freedesktop.org,18.08.33,Flatpak runtime
121,CentOS Linux,7,AltArch
118,ScientificCERNSLC,6.10,Carbon
114,OS X,10.13.6,
108,LinuxMint,18.1,serena
105,Scientific Linux,7.5,Nitrogen
103,openSUSE Leap,42.3,x86_64
101,Oracle Linux Server,6.10,
99,Deepin,15.9,unstable
98,Arch Linux ARM,,
98,Scientific Linux,7.3,Nitrogen
95,RedHatEnterpriseServer,6.4,Santiago
94,Nest,6.9,Final
94,Oracle Linux Server,7.5,n/a
93,Parrot GNU/Linux,4.6,n/a
93,Vecima Reference Distribution,2.3,pyro
93,LinuxMint,18,sarah
92,Gentoo,2019071101,
91,GalliumOS,3.0,Bismuth
91,Kali GNU/Linux,2018.1,kali-rolling
88,Fedora,29,Server Edition
87,CentOS Linux,7.1.1503,Core
87,DGX OS,18.04,bionic
86,Ubuntu Kylin,16.04,Xenial Xerus
86,macOS,10.11.3,
85,openSUSE Tumbleweed,20190708,n/a
82,SUSE LINUX,11,n/a
80,Springdale Linux,7.6,Verona
79,RedHatEnterpriseWorkstation,6.10,Santiago
78,Clear Linux OS,30650,
78,Fedora,25,Workstation Edition
78,openSUSE Tumbleweed,20190704,n/a
75,Kali GNU/Linux,2018.3,kali-rolling
74,BunsenLabs GNU/Linux,9.8,Helium
73,openSUSE Tumbleweed,20190730,
73,macOS,10.11.1,
70,SLES,15,n/a
69,Oracle Linux Server,7.4,n/a
69,macOS,10.11.2,
68,macOS,10.11,
67,Kali GNU/Linux,2018.2,kali-rolling
67,Clear Linux OS,30500,
67,"""elementary""",0.4.1,loki
67,Scientific Linux CERN SLC,6.10,Carbon
66,debian,9.8,
64,nsoslx,1.0,alfa
64,Oracle Linux Server,7.2,
62,Clear Linux OS,30170,
62,CentOS,6.2,Final
61,Fedora,24,Workstation Edition
61,Debian,6.0.10,squeeze
61,Fedora,31,
60,Slackware,14.2,current
59,Peppermint,10,Ten
59,Manjaro Linux,18.0.3,Illyria
57,OS X,10.14.6,
57,Debian GNU/Linux,9.9,stretch
57,Clear Linux OS,30340,
57,Scientific Linux,7.2,Nitrogen
55,Red Hat Enterprise Linux Server,7.1,Maipo
55,Antergos Linux,19.4,ISO-Rolling
52,Mageia,7,mga7
52,DGX OS,16.04,xenial
52,VMware Photon OS,2.0,
50,Zorin OS,12,xenial
50,Alpine Linux,3.7.1,
50,openSUSE,13.2,Harlequin
50,openSUSE Tumbleweed,20190730,n/a
49,Ubuntu Kylin,19.04,Disco Dingo
49,openSUSE Tumbleweed,20190723,n/a
48,Fedora,31,Workstation Edition
48,Ubuntu,12.04,precise
47,Debian GNU/Linux,10.0,buster
47,openSUSE Tumbleweed,20190721,n/a
47,PureOS,8,green
46,AIMS Desktop GNU/Linux,oldstable-updates,sid
46,Fedora,17,Beefy Miracle
45,Fedora,28,Server Edition
45,NixOS,19.03.173068.9ec7625cee5,Koi
44,openSUSE Tumbleweed,20190708,
44,Gentoo,2019071601,
43,OS X,10.11.6,
43,Ubuntu Kylin,18.04,Bionic Beaver
42,Amazon Linux AMI,2015.03,
42,Red Hat Enterprise Linux Workstation,7.2,Maipo
41,Kali GNU/Linux,2018.4,
41,Arch Linux,2018.12.17,ArchLabs
40,Fedora,29,Cloud Edition
40,macOS,10.15.1,
39,Linux Mint LMDE,2,betsy
39,OS X,10.12.6,
39,Mageia,6,mga6
39,EulerOS,2.0,SP2
39,openSUSE Tumbleweed,20190726,n/a
38,Zorin,12,xenial
38,Ubuntu,15.04,Vivid Vervet
38,Arch Linux,v19.06.1,ArcoLinux
38,SLES,12.4,x86_64
37,Fedora,19,Schrödinger’s Cat
37,Deepin,15.7,unstable
37,OS X,10.14.4,
37,Kali GNU/Linux,2019.2,sid
36,openSUSE Tumbleweed,20190219,n/a
36,Manjaro Linux,18.0.2,Illyria
36,Kali GNU/Linux,2019.3,
36,openSUSE Tumbleweed,20190724,n/a
36,Scientific Linux,6.10,Carbon
35,GridOS,26,Twenty Six
35,macOS,10.10.3,
34,Manjaro Linux,18.1.0-rc1,Juhraya
34,macOS,10.7.5,
33,OS X,10.14.3,
33,Scientific,6.4,Carbon
33,debian,8.3,
33,Fedora,21,Twenty One
33,Deepin,15.10.2,
32,Deepin,15.8,unstable
32,Peppermint,9,Nine
32,Deepin,15.10,stable
32,Red Hat Enterprise Linux Server,6.9,Santiago
32,Red Hat Enterprise Linux Server,6.6,Santiago
31,debian,10.0,
31,Scientific,6.7,Carbon
31,NixOS,19.09pre-git,Loris
30,Astra Linux (Smolensk),1.6,smolensk
30,Freedesktop.org,18.08,Flatpak runtime
30,Deepin,15.9.2,unstable
30,RedHatEnterpriseWorkstation,6.8,Santiago
29,SLES,15.1,
29,Oracle Linux Server,7.3,
29,Gentoo,2019080301,
28,SLES,12,12
28,Clear Linux OS,30400,
28,DGX OS,16.04,Xenial Xerus
27,openSUSE Tumbleweed,20190703,n/a
27,Manjaro Linux,,
27,Red Hat Enterprise Linux Server,6.5,Santiago
26,Oracle Linux Server,6.9,n/a
26,RedHatEnterpriseServer,6.3,Santiago
26,CentOS Linux,7,ActiveVideo
26,macOS,10.10.4,
24,Fedora,27,Server Edition
24,Fedora,24,Twenty Four
24,Red Hat Enterprise Linux Server,6.7,Santiago
24,RedHatEnterpriseWorkstation,6.9,Santiago
24,SLES,12.2,x86_64
23,openSUSE Tumbleweed,20190516,n/a
23,RedHatEnterpriseWorkstation,6.7,Santiago
23,OS X,10.14,
23,BOSS GNU/Linux,7,drishti
23,macOS,10.8.5,
22,stockholm/NixOS,unknown/19.03.172979.8634c3b6199,Koi
22,stockholm/NixOS,19.06.git.1cfc265b-dirty@brauerei/19.03.git.d77e3bd,Koi
22,openSUSE Tumbleweed,20190718,n/a
22,EulerOS,2.0,SP3
22,NixOS,19.09pre184359.73392e79aa6,Loris
22,Trisquel GNU/Linux,8.0,Flidas
22,NixOS,19.03.172655.705986f5a98,Koi
22,NixOS,19.03pre173063.10a866602cd,Koi
22,Korora,25,Gurgle
22,Linaro,14.04,trusty
22,Clear Linux OS,29620,
22,NixOS,18.09.2532.571b40d3f50,Jellyfish
21,macOS,10.10,
21,openSUSE Leap,42.2,n/a
21,Manjaro Linux,18.1.0-rc5,Juhraya
21,Debian GNU/Linux,8.11,jessie
21,Clear Linux OS,30380,
21,EulerOS,2.0,SP5
21,RedHatEnterpriseClient,6.7,Santiago
21,Fedora,15,Lovelock
21,Oracle Linux Server,8.0,
21,RedHatEnterpriseServer,6.2,Santiago
20,Arch Linux,18.0.4,Illyria
20,RedHatEnterpriseWorkstation,6.5,Santiago
20,Pengwin,,
20,GalliumOS,3.0,bismuth
20,Fedora,23,Workstation Edition
20,Red Hat Enterprise Linux Client,7.6,Maipo
20,openSUSE Tumbleweed,20190614,n/a
19,CentOS Linux,6.2,Final
19,Deepin,15.9.3,unstable
19,Fedora,11,Leonidas
19,OracleServer,6.5,n/a
19,macOS,10.10.2,
19,openSUSE Tumbleweed,20190628,n/a
19,Fedora,26,Server Edition
18,openSUSE Leap,42.2,x86_64
18,OS X,10.14.2,
18,ubilinux,4,dolcetto
18,Clear Linux OS,29940,
18,Scientific,6.8,Carbon
18,EndeavourOS,rolling,n/a
18,SLES,12.1,x86_64
18,Gentoo,2.4.1,
18,Pengwin,10.0,buster
17,ScientificFermi,6.10,Ramsey
17,Alpine Linux,3.4.0,
17,Kali GNU/Linux,2017.1,kali-rolling
17,Pengwin,testing,buster
17,GalliumOS,2.1,Xenon
17,Deepin,15.11,
17,Arch Linux,v19.02.4,ArcoLinux
17,Manjaro Linux,18.0.4-19153,Illyria
16,openSUSE Tumbleweed,20190704,
16,Deepin,15.10,unstable
16,Clear Linux OS,30450,
16,GalliumOS,2.1,xenon
16,Clear Linux OS,30580,
16,SLES,15,x86_64
16,Kali GNU/Linux,2019.2,stretch
16,Kylin,4.0.2,juniper
16,Feren OS,18.04,bionic
16,Debian GNU/Linux,rodete,rodete
15,openSUSE Tumbleweed,20190713,n/a
15,Freedesktop.org,18.08.32,Flatpak runtime
15,Parrot GNU/Linux,4.5,n/a
15,BOSS GNU/Linux,6,anoop
15,XBian,1.0,knockout
15,RedHatEnterpriseWorkstation,6.4,Santiago
15,Fedora,29,MATE-Compiz
15,Fedora,22,Twenty Two
15,NixOS,19.09pre187466.4e8a8a13ef6,Loris
15,CentOS Linux,7,Broken
15,SparkyLinux,5.8,Nibiru
15,openSUSE Leap,42.3,42.3
15,Kali GNU/Linux,2019.2,kali-rolling
15,Chakra,2019.03,Hawking
15,NixOS,19.09.git.b5f5c97,Loris
14,Ubuntu Core,16,
14,openSUSE Tumbleweed,20190721,
14,OS X,10.14.1,
14,Red Hat Enterprise Linux Server,6.8,Santiago
14,debian,7.4,
14,CentOS Linux,7.0.1406,Core
14,openSUSE Leap,42.1,n/a
14,Microsoft Azure Mariner OS,3.0,
14,CentOS Linux,7.2,Final
14,ArcoLinux,v19.07.11,ArcoLinux
14,openSUSE,13.1,Bottle
14,Kali GNU/Linux,2016.1,kali-rolling
13,OS X,10.13.4,
13,openSUSE Leap,42.1,x86_64
13,Kali GNU/Linux,2017.2,kali-rolling
13,Kali GNU/Linux,2019.1,
13,Parrot GNU/Linux,4.1,stable
13,openSUSE Tumbleweed,20190726,
13,Generic,25,Generic
13,Ubuntu,14.10,Utopic Unicorn
13,Amazon Linux AMI,2018.03,Maipo
12,Puppy,8.0,
12,Gentoo,2018101601,
12,Clear Linux OS,30550,
12,Deepin,15.10.1,
12,Alibaba Group Enterprise Linux Server,6.2,DogTag
12,Slackware,14.1,
12,n/a,n/a,n/a
12,ROSA Desktop Fresh R11,2016.1,Fresh
12,Aliyun,6,n/a
12,Kali GNU/Linux,2019.2,buster
12,Deepin,15.9.1,unstable
12,openSUSE Tumbleweed,20190724,
12,macOS,10.6.8,
11,Generic,28,Generic
11,Debian GNU/Linux,9.1,stretch
11,CentOS,7.6.1810,Core
11,Kali GNU/Linux,2019.1,kali-rolling
11,Red Hat Enterprise Linux Server,6.4,Santiago
11,RedHatEnterpriseServer,5.3,Tikanga
11,Manjaro Linux,17.1.12,Hakoila
11,openSUSE Tumbleweed,20190718,
11,Astra Linux (Orel),2.12.14,orel
10,Alpine Linux,3.6.5,
10,Cluster Manager v,7.1,
10,RFRemix,29,Twenty Nine
10,Parrot GNU/Linux,4.4,stable
10,Ubuntu Kylin,19.04,disco
10,debian,9.5,
10,Ubuntu Kylin,17.10,Artful Aardvark
10,Oracle Linux Server,6.8,n/a
10,KDE neon Plasma LTS,18.04,bionic
10,PCLinuxOS,2019,PCLinuxOS
10,Parabola,,
10,Clear Linux OS,30210,
10,QTS,4.3.6,
10,Antergos Linux,19.1,ISO-Rolling
10,Trisquel GNU/Linux,7.0,Belenos
10,Scientific,6.5,Carbon
9,openSUSE Tumbleweed,20190717,n/a
9,openSUSE Tumbleweed,20190716,
9,Clear Linux OS,30670,
9,debian,8.7,
9,Kali GNU/Linux,2016.2,kali-rolling
9,Sailfish OS,3.0.3.9,Hossa
9,Manjaro Linux,18.0,Illyria
9,openSUSE Tumbleweed,20190716,n/a
9,Red Hat Enterprise Linux Atomic Host,7.4,Maipo
9,Arch Linux,n/a,n/a
9,RedHatEnterpriseComputeNode,6.5,Santiago
9,Porteus,5.0,
9,Pardus GNU/Linux,17.5,Onyedi
9,CentOS,4.3,Final
9,Artix,rolling,n/a
8,Deepin,15.10,
8,Antergos Linux,rolling,ISO-Rolling
8,Gentoo,n/a,n/a
8,GNOME,master,Flatpak runtime
8,Kali GNU/Linux,2019.2,jessie
8,Fedora,26,Cloud Edition
8,Kali GNU/Linux,2017.3,kali-rolling
8,Generic,30,Generic
8,SLES,11.4,x86_64
8,Generic,29,Generic
8,Oracle Linux Server,7.2,n/a
8,openSUSE Tumbleweed,20190713,
8,macOS,10.10.1,
8,Arch Linux,v19.05.2,ArcoLinux
8,debian,8.9,
8,ArchBang Linux,rolling,n/a
7,Chrome,75,
7,Debian GNU/Linux,9.7,stretch
7,"SUSE Linux Enterprise Server ",12,x86_64
7,Springdale Linux,7.5,Verona
7,Deepin,15.5 SP2,camel
7,RedHawk Linux,7.5,Rey
7,Ubuntu Kylin,18.04,bionic
7,bullxServer,6.3,V1
7,Gentoo,2.2,
7,RED OS,7.2,MUROM
7,SLED,12.3,n/a
7,meta-intel-ese Reference Distro,1.0,Avocado_Pesto
7,Acronis Cyber Infrastructure,2,55
7,Devuan GNU/Linux,10,n/a
7,Kali GNU/Linux,2018.2,
7,Kali GNU/Linux,2019.1,sid
7,openSUSE Tumbleweed,20190723,
7,Fedora,25,Server Edition
7,NewStart NSDL,v3.2.4rc2.201905-zte,
7,SparkyLinux,4,tyche
7,Red Hat Enterprise Linux Server,6.3,Santiago
7,openSUSE,12.3,Dartmouth
7,Astra Linux (Orel),2.12.13,orel
7,CentOS,5.4,Final
6,Red Hat Enterprise Linux Workstation,6.10,Santiago
6,Puppy,19.03,
6,KDE,5.12,Flatpak runtime
6,Red Hat Enterprise Linux ComputeNode,7.6,Maipo
6,Alpine Linux,3.5.2,
6,RedHatEnterpriseServer,5.11,Tikanga
6,Manjaro Linux,n/a,n/a
6,Parabola,rolling,n/a
6,Clear Linux OS,30260,
6,Clear Linux OS,30270,
6,openSUSE Tumbleweed,20190717,
6,Manjaro Linux,17.1.4,Hakoila
6,MarIuX64,2.0,
6,CentOS,6.3,n/a
6,Manjaro Linux,18.1.0-rc4,Juhraya
6,Arch Linux 32,32,
6,Sabayon,n/a,n/a
6,BunsenLabs GNU/Linux,8.9,Hydrogen
6,SLED,15.1,n/a
6,Sangoma Linux,7,Core
6,openSUSE Tumbleweed,20190805,
6,Poky (Yocto Project Reference Distro),2.0.3,jethro
6,OS X,10.10.5,
6,SLED,12.2,n/a
6,ScientificFermi,6.7,Ramsey
6,PisiLinux,2.1.1,Ataturk
6,Clear Linux OS,30040,
6,Clear Linux OS,30310,
5,SigintOS,1.1,shiva
5,macOS,10.9.2,
5,openSUSE Tumbleweed,20190623,n/a
5,NixOS,19.03.172807.b2ec3b6db2b,koi
5,Scientific Linux,7.1,Nitrogen
5,Oracle Linux Server,6.7,n/a
5,ViettelOS,1.0,Bionic Beaver
5,Oracle Linux Server,6.5,
5,Kali GNU/Linux,2018.4,n/a
5,Alpine Linux,3.5.0,
5,Peppermint,10,bionic
5,TinyCore,10.1,
5,IBM Platform HPC,4.2.0.1,build 247479
5,Pop!_OS,17.10,Artful Aardvark
5,SparkyLinux,5,Nibiru
5,Deepin,15.5,unstable
5,Scientific Linux,6.6,Carbon
5,Devuan GNU/Linux,,
5,Arch Linux,v19.04.4,ArcoLinux
5,OS X,10.13.5,
5,elementary OS,0.4,loki
5,Gentoo,2.4.1,n/a
5,Pardus GNU/Linux,17.5,onyedi
5,Arch Linux,x86_64,ArchLabs
5,Kali GNU/Linux,2.0,sana
5,NAOqiOS,3.6.21,Red Platypus
5,#CentOS,6.5,Final
5,openSUSE Tumbleweed,20190702,n/a
5,HELiOS,6.9.1,Carbon
5,Clear Linux OS,30300,
5,Manjaro Linux,18.1.0-rc3,Juhraya
5,AIMS Desktop GNU/Linux,10.0,buster
5,Oracle Linux Server,7.3,n/a
5,Clear Linux OS,30330,
5,Kylin Linux,3,Core
5,Calculate,,
4,Clear Linux OS,29810,
4,OracleServer,6.6,n/a
4,Archman,Archman - 2019.07,Abant
4,Condres OS GNU/Linux,19.06,n/a
4,ALT,6.0.0,Cheiron
4,Peppermint,8,xenial
4,Antergos Linux,18.12,ISO-Rolling
4,Gentoo,2.5.10.7,Gaperon
4,Debian GNU/Linux,17.5,onyedi
4,ScientificCERNSLC,6.8,Carbon
4,Gentoo,2.2,n/a
4,openSUSE Tumbleweed,20190630,n/a
4,DBOS Linux,7,Core
4,ArcoLinux,v19.07.9,ArcoLinux
4,debian,8.2,
4,SparkyLinux,5.7,Nibiru
4,openSUSE Tumbleweed,20170909,n/a
4,SLES_SAP,12.1.0.1,n/a
4,openSUSE Tumbleweed,20190514,n/a
4,Kali GNU/Linux,2019.2,unknown.new.testing
4,RFRemix,29,Workstation Edition
4,Tencent tlinux,2.0,Final
4,ScientificFermi,6.4,Ramsey
4,KDE neon,16.04,xenial
4,Kali GNU/Linux,2019.1,buster
4,Ubuntu Kylin,18.10,Cosmic Cuttlefish
4,Ubuntu Kylin,17.10,artful
4,AIMS Dekstop GNU/Linux,oldstable-updates,sid
4,Linux Server,,
4,Scientific,6.3,Carbon
4,Debian,10,buster
4,ScientificCERNSLC,6.5,Carbon
4,ALCS,alcs-4.34.1-LEON,bionic
4,Debian,rodete,rodete
4,NewStart NSDL release V,3.2.4,
4,Ubuntu,13.04,Raring Ringtail
4,Oracle Linux Server,6.7,
4,Fedora,12,Constantine
4,Manjaro Linux,17.1.11,Hakoila
4,Parrot GNU/Linux,4.2.2,stable
4,HELiOS,7.6SP2,Nitrogen
4,Apricity OS,rolling,n/a
4,Vine Linux,6.5,Poupille
4,RedHatEnterpriseServer,5.7,Tikanga
4,WLinux,,
4,ArcoLinuxD,v19.07.11,ArcoLinuxD
4,neon,16.04,xenial
4,macOS,10.8.2,
4,Clear Linux OS,30620,
4,Debian GNU/Linux,20190805-2a433fbd,
4,SLES_SAP,12.2,n/a
4,OS X,10.12.5,
4,Parrot GNU/Linux,4.4,stretch
4,CentOS,5.5,Final
4,Fedora,23,Server Edition
3,macOS,10.8.3,
3,Manjaro Linux,18.0-beta-2,Illyria
3,Parrot GNU/Linux,3.11,stable
3,CentOS,5.6,Final
3,Gentoo,2019053001,
3,AIMS Dekstop GNU/Linux,stable-updates,sid
3,Deepin,15.4.1,unstable
3,Clear Linux OS,30640,
3,Debian GNU/Linux,7.0,wheezy
3,Generic,27,Generic
3,openSUSE Tumbleweed,20190627,n/a
3,HELiOS,6.6,Carbon
3,Slackware,14.0,
3,Clear Linux OS,29520,
3,Devuan GNU/Linux,ascii,n/a
3,Linux Mint LMDE,3,cindy
3,Parrot GNU/Linux,3.9,Intruder
3,KaOS,rolling,n/a
3,SLED,15,
3,NeoKylin Linux Advanced Server,V7Update4,Titanium
3,openSUSE Tumbleweed,20190306,
3,"""elementary""",0.4,loki
3,AmazonAMI,2014.03,n/a
3,openSUSE Tumbleweed,20190621,n/a
3,dracut,049-25.git20181204.fc29,Workstation Edition
3,SLED,15.1,
3,Parrot GNU/Linux,3.6,JollyRoger
3,Fedora,29,Generic
3,openSUSE Tumbleweed,20190408,
3,Calculate,18.12,
3,debian,8.8,
3,Kali GNU/Linux,2019.3,xenial
3,CentOS,6.1,Final
3,Scientific Linux,7.6,labv
3,CloudLinux,7.6,Vladimir Lyakhov
3,OS X,10.11.5,
3,Progress Linux,5+,engywuck-backports
3,Scientific Linux,6.9,Carbon
3,Antergos Linux,rolling,Minimal-ISO-Rolling
